,rumor,text
rumor38,0,吃的降压药就不用测量血压了从高血压人需要长期地监测血压六条食物保健品可以替代降压药从食物和保健品没有确切的降压效果不能替代对六条降压药伤肝伤肾第七条高血压能根治错大部分高血压都不能根治血压正常降压药不，能随便停第四条定期的复查看看你血压的情况第九条高血压要定期的输液错，误除非高血压危象或者一些特殊情况才需要输液绝大部分的高血压是不，需要输液到第十条高血压人需要长期的口服阿，司匹林来预防血栓阿，司匹林主要作用是预防血栓的形成单纯的高血压不，需要吃阿，司匹林第十一条第一条没有感觉就没有高血压错，
rumor39!,1,喝酒对我们心脏没有多大的影响。
rumor40!,1,糖尿病患者一定不能输注葡萄糖。
rumor41,0,我们每个人都有继续生活下去的权利。没有哪个指南上说你的心梗就不能要孩子了，我们都有让自己开心快乐的权利。
rumor42,0,如果是体温升高了，确实会提高代谢，比如生病发烧时代谢就会提高。可是喝热水对健康人的体温几乎没影响，即便是喝再多的热水，体温仍然是恒温的，所以对基础代谢的影响也微乎其微
rumor43,0,心脏没什么事儿。心脏神经症就是精神心理因素导致胸闷不舒服。
rumor44,0,每年定期输液就可以预防中风，这没有任何科学依据，而且输液本身就有风险。现在很多医院都取消了门诊输液。
rumor45,0,他还说他说喝酒少了抽烟，按说微博让我心梗了，而我去年我就当是过去了，后来通过弄好，大夫没告诉你不让你抽烟喝酒，我说打你还喝酒，你都不知道。
rumor46!,1,长期节食可以减肥。
rumor47,0,没有任何科学证据证明，西瓜是孕期的禁忌。只要是新鲜的西瓜，不过量食用就好
rumor48,0,你是不是放支架之后很多医生会跟你说说您最近几个月啊都不能动不用他他说萎缩得厉害我上周说好大夫就是因为你长期不运动造成的你看我看网上有一个叫哪个老人八十多岁就长爱人没就说明人家天天做运动，你看人家哗哗地走动那个状态你看看终南山
rumor49!,1,海鱼没有寄生虫，可以随便吃
rumor50,0,喝可乐不能解酒，而且可乐配酒比单独喝酒更伤身体，因为碳酸饮料会加快胃肠道对酒精的吸收。碳酸饮料里的气体
rumor51,0,脑动脉瘤是没有任何症状，但是它确确实实一旦破裂了就会导致脑出血而死亡。所以说千万不要小看它，一旦这些患者长期有高血压，应该控制危险因素，不必要。一些动脉瘤很严重的后果，大概有三分之二的病人会因为动脉瘤破裂。
rumor52!,1,柿饼上的白霜是防腐剂
rumor53!,1,多运动次数可以不得脑血管病。
rumor54,0,春季的这个时候是容易出现心脑血管意外的时候。所以大家一定要注意自己的体重，不要太胖了，对吧？要减肥，不要暴饮暴食，不要熬夜。
rumor55,0,缓解肠易激综合症要避免社会心理，如果比较容易紧张焦虑的人，你可能需要进行一下自我情绪的调节以及医院就诊。
rumor56,0,茄子是我们日常生活中常见的蔬菜，含有糖类（碳水化合物）、钙、钾等营养成分对孕妇和胎儿没有不良影响，可以食用
rumor57,0,医生在做肠镜的时候没有义务一定要给患者顺手做肠息肉治疗。
rumor58,0,它并不一定都反映出是心脏有问题啊，在亲口说这个指标也可能会出现异常但是这么年轻人没有任何基础并说只是单纯的这个指标高一分有一就知道了说唉，但是并不能代表一定是心脏的问题不太会看身体的肌肉里面都有这些东西
rumor59,0,重要的问题是什么？你摄入得太多了，你吃得太多了，随着我们生活的条件的越来越好，对吧？我们每天摄入的食材的种类种类多是好事儿啊但是总的食物的量太多了，你吃了这些糖类的，油脂类的，对吧？这些什么时候你还各种肉类各种什么东西你吃的东西太多了所以越吃越胖在你吃的同时呢？不去做粥运动牛代谢不了这些东西那么？你自然也胖了而后你的高血压糖尿病冠心病这些疾病就跟着来了猪油可以吃但是要控制量
rumor60,0,高血压患者平常运动不要过量，不要过于劳累，要逐渐的增加运动量。运动的时候一定不要空腹防止低血糖。建议大家餐后两小时左右开始运动，运动的时候不要突然停止运动中出现不适时因厉害停止，及时就医。
rumor61,0,那么这个血糖就和血红蛋白他们两个会发生反应糖化血红蛋白就是黏到一块儿了，老唐到摒弃了你的这个糖化血红蛋白占的比例也会增高但是你知道什么是糖化血红蛋白吗？但是如果你的血糖很高
rumor62!,1,用蔬菜水冲奶粉可以防止小孩上火
rumor63,0,摄入了过多的碳水化合物会导致血脂升高。
rumor64!,1,血压正常以后就可以不吃药了。
rumor65!,1,小孩胖点才好
rumor66!,1,趁热吃，对肠胃好。
rumor67,0,年轻也会得脑梗，跟现代年轻人的生活和工作状态有关系，生活压力大，久坐少运动，特别是现在很多年轻人，大腹便便，他们都是脑梗塞的。工作繁忙。
rumor68,0,我从来没说过要你吃减肥是塔顶的，不断开玩笑的，别瞎吃任何的药物，处方药对王医生治病处方你不用你自己道听途说好不好？有说明白了，等下停药不能下减量而且还有很多人说话说我告你是完全胡扯他并不但它不伤肾
rumor69,0,有一个食物是非常有价值的坚果里有很多不饱和脂肪酸和我们人体必需的矿物质那么这些物质对我们大脑的正常的新陈代谢都是非常有帮助的。多吃对大脑还是有很大的帮助。
rumor70,0,我们典型心绞痛的是以心前区的这种压榨行疼痛为主，好像加了个大石头压的喘不过气儿来，或者像绳子勒了，实在喘不过气了，这样的考虑心绞痛。
rumor71,0,基因检测用于检测致病基因及明确遗传病已得到广泛应用和认可。而天赋基因作为“基因检测”，只是检测某些与儿童发育行为相关的某些相关性位点。对孩子来说，如果一味追求根据基因来培养孩子，势必会大大限制孩子在其他方面的发展。只有全面培养，才能知道孩子到底在哪方面才能发挥得更好，展现真正的天赋
rumor72,0,如果是正规的心肺复苏，做这个胸外按压，按压到五厘米以下，老年人都有胸骨和肋骨，胸骨很多都会折的。
rumor73,0,“日凌”虽然会影响到卫星电视信号的正常接收，但它不会损坏电视机，也不会干扰到手机信号，更不会危害人体健康
rumor74,0,使用普通型牙膏不存在耐药性问题，但使用功效型牙膏应注意定期更换，防止过量摄入添加成分而引发口腔问题
rumor75,0,无论用不用、用哪种、用多少种食品添加剂，只要符合相关标准的要求就不会危害健康，在安全性上也没有差异。
rumor76,0,久坐对于身体可能出现的危害久坐的人容易肥胖特别是主属性肥胖动物特别大然后呢，这种人就容易出现高血压，糖尿病，高脂血症另外，随着这种疾病的发展，它更容易出现这种全身性的血管衰老它的衰老速度会比爱人老人明显增快另外还有全身性的这种骨质疏松
rumor77,0,碳酸钙牙膏并不是所谓的“伤牙”牙膏。刷牙会不会对牙齿造成伤害，不是单凭确认某一种摩擦剂成分就可以下结论的
rumor78!,1,能燃烧的粉丝是塑料做的
rumor79,0,长期吃素会导致营养不能满足机体需要，糖皮质类固醇激素分泌过多，使大量游离脂肪酸进入血液循环及肝脏。肝内脂肪酸超过肝脏载脂蛋白的转运能力，也会沉积于肝内，引发脂肪肝
rumor80!,1,有人吃杨梅感染SK5病毒死亡
rumor81,0,高血压患者也需要补充叶酸，可以降低脑卒中风险，医生建议我国所有高血压患者都要补叶
rumor82,0,肚子胀，感觉里面有气，原因是一边吃边聊天，无形中吃进去很多气体。
rumor83,0,判断脑动脉瘤其实还是有些难的，因为动脉瘤除非是破裂脑动脉瘤，多数情况下是没有症状的，一旦破裂了，出现的第一症状就是头痛和呕吐。而最剧烈的头痛，有一部分患者会出现动眼神经麻痹之一恻隐皮掉下来的症状。
rumor84,0,日常饮用的蒲公英茶中化合物浓度远小于实验浓度，无法发挥其药理作用；但若过量食用，会增大肝肾负担，还有使疾病加重的危险
rumor85,0,抽电子烟的男朋友还能不能要，他得分了什么？咱不能把它作为一个健身的手段，你跟你男朋友能不能在一块儿但没谁更电子烟对身体没害处了。一句话啊，低廉电子烟对身体有害。
rumor86,0,现在脑部手术很多是微创手术，微创手术如果是想介入手术，对女性一般来讲是没有影响的。开颅手术，如果是开放性的开颅手术，伤口长好了，没有脑筋露，那么也是可以长途旅行的。
rumor87!,1,超市大米不生虫是因为加了防腐剂
rumor88!,1,空气炸锅的高温加热会使食物产生“致癌物”丙烯酰胺，同时在空气炸锅“高速空气循环技术”作用下，挥发出来的油会粘在热管和风机上，下次工作的时候，这些油又被再次加热进入循环，从而成为“千滚油”，致癌物就多了
rumor89,0,我们中国老百姓看病的一个特点就是不到这个病情很重了，这损耗像心梗来到了医院，建议早期来医院就诊。
rumor90!,1,吃完饭不能松裤腰带，不然胃失去支撑，可能影响消化系统健康
rumor91,0,在医院检查有些检查要重复做目的是为了我们诊断疾病提供一些依据有些检查具有很强的时效性的比如说心电图在发病跟非发病的时候它的诊断的价值是不同的因此可能需要随时做如有新的症状或者是新的病情的变化有可能还需要随时去做
rumor92,0,隔夜中会产生大量亚硝盐，长期吃会致癌。
rumor93!,1,糖尿病患者不能吃米饭、馒头、面条等碳水化合物食物
rumor94!,1,睡梦中“虎躯一震”是猝死的信号
rumor95,0,饮食要保持一个相对清淡的饮食可能才有利于病人的恢复将洗净脑梗塞多长时间才能恢复呢？将脑梗塞多久才能恢复？其实是因人而异，因病情而异的，应该说，绝大多数将硬性的啃下的患者很快就能够恢复正常，甚至是在步子没有察觉的过程中检查发现的那个对一些重要部委的强制性的菜一旦有了症状可能需要两到三个月的时间来恢复主任主任那么这个时候一定要坚持吃药
rumor96,0,我们高中物理曾经学到过，波长越短的光能量越高，而蓝光是一种短波、高能、穿透力强的光线，可以穿透角膜、晶状体、玻璃体，直达眼睛底部视物关键的组织，视网膜和黄斑区。研究人员在小鼠身上的实验表明：将小鼠暴露在有毒剂量下的蓝光后一段时间，小鼠眼底检测到了大量的蛋白酶，视杆细胞和视锥细胞均有大量的死亡与退化。综合以上原因，主播在高光强的蓝光的一两个小时的照射之后引发了这样的悲剧。因此，光的颜色也会影响眼睛的健康
rumor97,0,疾病的治疗到头来肯定能够受牵连最后就是社会心理因素和多胃病或多或少和精神因素脱不了关系自我调节好工作，学习，家庭所带来的压力往往对我们的胃也是非常有利所以提醒大家为七分靠养
rumor98,0,中医讲的“湿气重”与体内水分多不是同一个概念。体内转运水的系统流程会把多余的水自动排泄出去，因此，不会因为输液摄入的水而引起体内“湿气重”
rumor99,0,钙是人体非常重要的矿物质，缺钙是骨质疏松的原因之一，但不是绝对原因，这个数还跟钙的过度的流失有关系，已经跟我们的饮食包括吃过多的酸性食物有关系，所以说补钙能够防治一部分，但是不能够完安全的预防骨质疏松。
rumor100,0,隔夜中会产生大量亚硝盐，长期吃会致癌。
rumor101,0,你知道吗？因为你抽烟，你的老婆，孩子，你的家人以后患病的风险就会增加。
rumor102,0,在现实生活当中，大部分人出现“睡觉时抖一下”这种现象，都是正常的生理反应，不必太过于担心。但如果已经到了严重干扰睡眠及日常生活的程度，就需要引起大家的重视，应及时到医院就诊
rumor103!,1,吃荔枝会被测出“酒驾”
rumor104,0,引起胃下垂原因消瘦幽门梗阻造成消化道不通畅，胃扩张的饼还有就是手术治疗后相关韧带断裂或者腹压降低这些会造成胃下垂的给胃下垂的人。
rumor105,0,心衰一般都会有最典型的症状就是憋气，胸闷喘不过气儿了有些人是咳嗽，咳嗽那个口儿的覃桢就粉色的大泡沫是急性左心衰发作的但是慢性心衰的病人一般都会有几个特点就是特别乏力，没劲儿胸闷，憋气，喘不过气儿了，觉得腿肿了上肢水肿这些都是左心和右心衰竭不同表现
rumor106,0,首先看我们的血压控制速度平稳，如果血压一直控制很平稳的，那么降压药是不需要更换的，只有对那些血压用药后仍然是波动，或者是达不到我们的目标指的，去看专业的大夫进行血压药物的调整。
rumor107!,1,老人鞋越软、越防滑越好
rumor108,0,我们要保证每天有六到八个小时的有效睡眠。
rumor109,0,改善便秘啊，多喝水，多运动，对吧？均衡饮食摄入高膳食纤维的食物，比如西兰花，海带，粗粮，红薯，苹果这些东西。
rumor110,0,想要拥有一个健康的肠胃，少吃油腻高脂的饮食，遏制过于辛辣的和油炸类食物的摄入。
rumor111,0,其实红糖真的不补铁，对于缓解痛经可能会有一点用，但是主要作用也不在于红糖。
rumor112,0,肠镜前一定要喝泻药，把肠子洗干净，这样医生才能看得清楚。
rumor113!,1,所有的胸痛都一定是跟心脏相关
rumor114,0,垂体瘤的诊断是一个相对规范，也是一个复杂的过程，包括查病人的症状，影像学检查和磁共振平扫和增强是垂体瘤的标准检查，内分泌检查。所有垂瘤的患者都要查垂体五项，了解垂体瘤对激素水平的影响，必要的时候也需要药物治疗。
rumor115,0,熬夜熬夜对身体的伤害很多的猝死年轻人的猝死都和熬夜相关我们能做好的第一道防线是最重要的防线预防猝死来讲尤其是年轻人你把这些不良的生活方式彻底地改变了，那么相信你就会有一个比较好的一个身体来抵抗当成猝死的发生这是猝死的很重要的原因有可能会诱发的心源性猝死
rumor116!,1,鼻出血用仰头来止血的。
rumor117!,1,支架是万能的。
rumor118!,1,马齿苋、木耳菜性寒，吃了会增加孕妇子宫收缩次数，引起不适
rumor119,0,用嘴将蛇毒从伤口吸出有中毒的风险
rumor120,0,其实这没有任何的科学依据，血管上动脉粥样硬化斑块形成之后通过输液也不能够让这些斑块消失，或者是让它更加的稳定，那么而要通过我们的药物或者是饮食来调节。
rumor121,0,运动能够改变体内的一些激素水平，特别是减少升高血压的激素。
rumor122,0,主动脉夹层引起的疼痛主要在胸骨后表现为胸骨后的剧烈的疼痛以及呼吸困难包括喘不上气那么这种疼痛非常非常的危险也非常的紧迫三叉神经痛主要是由于三叉神经受到了刺激引起的往往是局限在一侧的面部那么在患者在洗脸和刷牙的时候不小心一旦碰到了会剧烈的放电一样的或者说刀割一样的这种疼痛往往这种病人都不敢洗脸不敢刷牙
rumor123!,1,嘴唇干裂多喝水就能复原
rumor124,0,对于已经植入心脏支架的患者一定要坚持正规的西药抗血小板治疗，不可用其他中药代替，否则支架内发生再狭窄甚至堵塞的概率将会极大增加，甚至诱发急性心肌梗死
rumor125,0,霍乱的预防是各种食品要煮熟，饭前便后，要洗手，出现症状及时就诊。
rumor126,0,核准高血压脑出血以后降压药需要一直吃吗？高血压脑出血以后降压药一般来讲是要终身服用的。因为一旦有脑出血了，说明这已经是一个严重的高血压，而且是有并发症的高血压，如果不吃药，那就等着下次再出血吧。
rumor127!,1,孕妇补钙过多会导致胎盘老化
rumor128,0,我们几乎所有的心脏方面的疾病都可能很吸烟密切相关其中包括你直接抽烟也包括二手三手烟对你的伤害都是存在
rumor129!,1,胃痛需要吃止痛药。
rumor130!,1,保健品可以治疗心脑血管疾病。
rumor131!,1,降压药可千万不能吃伤肝伤肾好多好多副作用而且一旦吃上以后就不能停药了终身都得吃药啊也太可怕
rumor132,0,我们要吃饱吃好相关饮食不能吃得太多了。
rumor133,0,男性每日饮酒不能超过二十五克。
rumor134,0,脑动脉瘤就相当于我们血管上鼓起了一个小包咱们的血管实际上就像是汽车的轮胎那么用久了之后或者压力过高之后那个地方就会磨损在从过去的手就可能会引起一个古堡那么这个鼓包最大的危害就是在血压波动的时候获得它长大的时候可能会破裂
rumor135,0,窦性心动过缓除了口服药之外影响外眼药水儿也是我们要关注一定要排除的药物的原因就是要排除种药物引起
rumor136,0,准准脑动脉瘤治疗之后需要注意控制血压，血糖和血脂，要保持大便的通畅和情绪的稳定，要定期进行复查。对于一些颅内有指甲植物的患者，那么他一定要注意服用阿司匹林。
rumor137!,1,吸烟不会导致皮肤老化
rumor138!,1,喝牛奶导致乳腺癌
rumor139!,1,看B超单上孕囊的数据，可以提前知道宝宝性别
rumor140,0,冠心病的病人用输疏通血管的药根本没用。高血压的病人也稳定不了你，血压疏通不了你身上任何一条血管。
rumor141,0,防猝死要关注血糖，血糖监测年轻人的糖，因为肥胖的人越来越多啊，年轻的糖尿病的问题。
rumor142,0,放化疗对于脑肿瘤来说并不是必须的如果是良性肿瘤又做到了彻底的切除一般来说是不需要放化疗的，放化疗针对是恶性的肿瘤特别是不能全切的恶性肿瘤后需要放化疗，放化疗的方案要考虑到患者自身的身体状况来决定采取什么？样的？放化疗？的？方案
rumor143,0,负压病房的气压和常规大气压之间只有25帕斯卡的气压差。“这点儿气压差普通人难以察觉，患者在负压病房里也不会感到任何不适
rumor144!,1,儿童夜里磨牙是因为肚子里有蛔虫
rumor145,0,我们人体的衰老就是一个血管衰老的过程血管的衰老伴随着就是我们动脉粥样硬化的形成讲它不存在动脉粥样硬化的问题希望弹性非常好的血管瘤和长袖斑块大多数老年人都或多或少的有动脉粥样硬化的问题都长了斑块所以最近的视频我们主要就来讲讲动脉粥样硬化的形成很发生发展的这样一个过程以及我们怎么去预防它的好这条视频我们主要来讲一下那个好大夫最近我们主要就围绕着动脉粥样硬化来讲为什么呢？
rumor146!,1,打呼噜不是病
rumor147,0,儿童腹泻的原因很多都是病毒感染或食物不耐受，因此不应常规给予抗菌治疗。至于蒙脱石、洛哌丁胺之类的止泻药，如果用于细菌感染引起的腹泻会有很大的风险，因此也不推荐自行使用
rumor148!,1,网红“进口盐”因为天然无污染，又含有特殊矿物质，所以不仅好看、好吃，也更健康
rumor149!,1,溺水之后，能采用这种倒挂急救的方法去施救。
rumor150!,1,脱脂牛奶比全脂牛奶更健康
rumor151,0,即便临海城市的人，海产品丰富，仅靠食物依旧吃不够碘（成年人每天需要150微克碘），食盐加碘仍然是有必要的。
rumor152!,1,小肚子凸出是因为肠道内宿便堆积。
rumor153,0,青年的脑梗死对于患者本身来讲，这种患者今后再按等死的几率会比老年人大很多。青年脑梗死有非常大的危害，会影响患者今后的生存，以及影响患者高级的神经功能。
rumor154,0,水果虽然有无可替代的营养特点，但也存在高碳水的特点，如果糖、葡萄糖等碳水化合物含量在。 之间，而蛋白质和脂肪含量大多数在。 以下。 实际上，人体保持健康状态需要7大类近50种营养素，如果少吃饭多吃水果，不但会带来其他重要营养素摄入不足的营养缺乏风险，更重要的是，过多的糖分摄入会导致能量过剩后的脂肪蓄积。所以，吃水果过多反倒不利于控制体重和减肥
rumor155!,1,高钙奶更补钙
rumor156,0,想要拥有一个健康的肠胃适当的运动。
rumor157,0,失眠对身体的会诱发很多疾病，包括消化不良啊，腹泻啊，包括情绪的低落啊，甚至抑郁症。
rumor158,0,我们要知道是不是有高血压，知道血压高了，不是吃着药就ok还要把这个血压控制在一个我们认为合适的一个范围。
rumor159,0,这是一种，另外一种就是有些人表示会说带着总觉得胸闷没劲儿大白话今天我们把房颤的这个症状和好好给她讲一下很多粉丝都和他问你说那人的房产他没有很没觉得我怎么这么不舒服这是很常见的一种表述当中这种小鹿乱撞跟你那个和那个那个兴奋那个乱撞都不一样
rumor160!,1,经常吃腐乳会致癌
rumor161,0,从营养学的角度，贫血纠正的最好的方法是多吃一些血制品，肝脏瘦肉，而不是多吃红豆，花生之类的豆制品。
rumor162!,1,打一次狂犬疫苗，两年之内就不用再打
rumor163,0,预防感冒，出门要注意保暖。
rumor164,0,降压药的种类非常多，我们医护人员是会根据患者的血压的情况指定一个药物的药物，时间用久了之后有可能效果会下降，这个时候我们可能会增加药物，而不是随便地调换药物。
rumor165,0,手麻不一定是脑血栓，还有很多是颈椎病引起的颈椎病引起的手麻，脑血管病引起的这种手麻很多都是持续性的，不会缓解，就是脑血管病引起的手麻。颈椎病引起的手麻往往合并的颈部的疼痛。
rumor166,0,预防感冒。经常的家里消消毒。
rumor167!,1,“零添加”食品更好
rumor168!,1,长期喝牛奶会导致乳腺癌
rumor169!,1,光的颜色对眼睛健康没影响
rumor170,0,其实这没有任何的科学依据，血管上动脉粥样硬化斑块形成之后通过输液也不能够让这些斑块消失，或者是让它更加的稳定，那么而要通过我们的药物或者是饮食来调节。
rumor171!,1,营养不够、免疫力低，输点“白蛋白”就没事
rumor172,0,专家表示：高价进口盐和普通食盐营养价值上不会有多大区别，因为二者本质都是氯化钠
rumor173,0,肚子胀，感觉里面有气，原因是吃了一些容易产气的食物，比如豆类或者面食。
rumor174,0,防猝死要经常用血压计测量血压。
rumor175,0,因为语言发育迟缓是儿童许多疾病症状之一，比如发育迟缓、自闭症、听力障碍、遗传疾病等。明确宝宝语言发育迟缓的原因后，要及时为宝宝进行专业的指导和训练，使宝宝快速追赶至同龄孩子水平，否则如孩子语言一直落后，也会极大地影响孩子的认知和心理健康。如果家长发现孩子说话比同龄孩子晚，建议带孩子到儿童保健门诊进行语言发育评估，一旦发现问题，可以尽早干预
rumor176,0,在大腿根部插一根导管就能够治疗脑出血其实这就是平常我们说的介入手术这个管子从大腿的股动脉进去经过主动脉和颈动脉和椎动脉到达颅内这种管管到达出血的部位在出血的部位经过细小的导管填上它不仅能够治疗脑出血现在还能够治疗急性脑梗塞急性脑梗塞使血管被血块或者其他的分子堵住了引起的缺血那么我们经过同样的路径到达栓子形成的部位用一个支架获得的抽吸导管就能把这个血栓清除做好脑梗
rumor177!,1,得了三高心脑血管疾病就不能吃肉
rumor178,0,你家里有高脂血症的患者，建议适当喝的，以此获得，是脱脂牛奶对他们的身体也是有好处的。
rumor179,0,就是因为大家物质条件更好了但是健康意识还不够正是我们做科普的一个目的这是我讲的是科普的目的吧我就希望大家把这些健康的知识都能学会这样的话你们患病的少了我会把它挂在我的墙上啊时刻提醒自己有好的医生除了看好的病人做好的手术之外科普也是非常重要的因为你一条视频可能会给更多的人带来更多的健康知识你做专业医生找刘婷我觉得我讲内容真的都是很不错的你做一个心内科医生玩小鸟哦，说我经常会和大家分享一些就是我工作中非常忙碌的这样一个状态
rumor180!,1,O型血的人最容易被蚊子叮咬
rumor181!,1,“日凌”会对电视和人体造成危害
